HIP,RA,Dec,Vmag,pmRA,pmDE,Plx,RV
2581,8.19804237,54.11994806,6.91,74.49,-35.58,3.62,-105.72
2583,8.20452929,28.28024062,6.26,-5.20,6.90,6.31,-11.16
2595,8.23258521,16.16723458,6.90,46.70,28.30,8.96,-12.50
2599,8.24996522,62.93178271,4.17,3.65,-2.07,0.73,0.30
2611,8.29331086,54.89498495,5.93,70.30,-39.49,8.76,-34.97
2628,8.33027900,70.98184323,6.41,29.80,0.20,6.59,-11.80
2629,8.34732858,-71.26624641,6.11,73.42,-13.37,7.69,2.30
2661,8.42101003,-29.55827820,5.55,-29.03,-29.65,6.06,-6.80
2663,8.43252523,-35.00207835,6.41,-61.40,-497.20,30.20,29.46
2695,8.54498182,10.29920037,6.76,63.78,-156.59,5.92,
2701,8.58117258,-42.43123897,6.88,87.38,18.53,6.74,44.10
2707,8.60383943,66.75035143,6.47,24.30,0.30,5.27,-16.00
2708,8.60478648,-45.42583004,6.80,10.18,15.70,4.97,
2710,8.61321144,-6.50390620,6.90,-71.62,-85.34,24.44,
2711,8.61596951,-52.37309007,5.57,226.94,38.02,39.24,36.00
2734,8.73068052,13.37113666,6.39,-73.61,-53.30,9.12,-19.59
2753,8.79006864,36.83223265,6.58,-20.26,-16.11,3.85,-9.00
2762,8.81199674,-3.59284649,5.20,415.90,-23.20,47.05,10.37
2782,8.87134516,54.20349976,6.95,62.74,3.62,8.45,6.00
2787,8.88680600,-0.50560963,5.94,143.64,-62.85,18.35,11.30
2789,8.88891067,-54.82187272,6.04,22.71,-50.89,14.13,-10.40
2796,8.90488860,67.92596016,6.92,0.12,-0.29,1.06,-18.37
2802,8.92156654,-48.00090673,5.51,46.81,-101.65,28.72,9.10
2814,8.95288916,49.02114013,6.89,-2.70,-4.60,0.49,-24.38
2832,8.97833944,13.20706730,6.32,-132.20,-178.28,26.62,-23.50
2841,9.00370554,-59.71723967,6.91,77.61,-17.69,17.62,
2843,9.00772486,-5.57072055,6.72,225.92,-108.21,22.20,9.90
2846,9.01315183,-14.97303508,6.45,-64.41,-59.23,8.67,13.60
2852,9.02857219,-22.84233332,6.06,-71.86,-51.47,20.46,11.70
2854,9.03462681,54.16845015,5.08,22.56,-2.23,6.08,1.10
2865,9.08374886,27.25476316,6.51,16.60,-11.04,4.59,4.00
2876,9.11393972,60.32621461,5.78,2.82,-0.91,0.90,-8.50
2888,9.15823481,-49.13232300,6.79,386.50,-131.70,22.90,-1.90
2889,9.15687960,-65.12444559,6.43,40.98,-8.38,4.72,20.20
2900,9.19350416,44.48858693,5.14,-36.32,32.00,5.29,-33.33
2901,9.19377958,54.95736914,6.77,-42.48,-11.61,3.95,-41.19
2903,9.19713461,15.23172547,5.89,1.02,-13.55,3.14,-8.00
2907,9.20725351,-76.30958044,6.72,42.90,-3.52,6.06,
2912,9.22020689,33.71934362,4.34,8.50,-2.90,5.45,8.20
2920,9.24285251,53.89690937,3.69,17.38,-9.86,5.50,-0.20
2926,9.27995656,24.01413647,6.18,-18.20,-46.49,8.87,0.46
2937,9.32602545,-54.39381901,6.40,70.53,-3.37,6.81,-6.40
2941,9.33625274,-24.76726709,5.57,1391.00,-13.00,64.38,18.63
2942,9.33841421,35.39950145,5.45,-9.32,-3.73,3.85,-0.20
